,Ex-Showroom_Price,Displacement,Cylinders,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,City_Mileage,Gears,Seating_Capacity,Type,Boot_Space,Number_of_Airbags
481,794000,1199,4,35,Petrol,1501,3995,1695,Sedan,4,93.25,5,5,Manual,420,2
482,966000,1498,4,35,Diesel,1501,3995,1695,Sedan,4,93.25,5,5,Automatic,420,2
483,864000,1199,4,35,Petrol,1501,3995,1695,Sedan,4,93.25,5,5,Automatic,420,2
484,979300,1498,4,35,Diesel,1501,3995,1695,Sedan,4,93.25,5,5,Automatic,420,2
485,877300,1199,4,35,Petrol,1501,3995,1695,Sedan,4,93.25,5,5,Automatic,420,2
486,906300,1498,4,35,Diesel,1501,3995,1695,Sedan,4,93.25,5,5,Manual,420,2
487,794300,1199,4,35,Petrol,1501,3995,1695,Sedan,4,93.25,5,5,Manual,420,2
488,637343,1298,4,40,Petrol,1875,4010,1540,SUV,3,10.2,5,8,Manual,350,0
489,622730,1298,4,40,Petrol,1845,4010,1540,SUV,3,10.2,5,8,Manual,389,0
490,655000,1197,4,45,Petrol,1590,3995,1770,SUV,5,93.25,5,5,Manual,350,2
491,826000,998,4,45,Petrol,1590,3995,1770,SUV,5,93.25,7,5,Manual,350,2
492,780000,1397,4,52,Diesel,1590,3995,1770,SUV,5,93.25,6,5,Manual,350,2
493,959000,998,4,45,Petrol,1590,3995,1770,SUV,5,93.25,6,5,Manual,350,2
494,974000,998,4,45,Petrol,1590,3995,1770,SUV,5,93.25,6,5,Manual,350,2
495,1065000,998,4,45,Petrol,1590,3995,1770,SUV,5,93.25,6,5,Manual,350,6
496,940000,998,4,45,Petrol,1590,3995,1770,SUV,5,93.25,7,5,DCT,350,2
497,1115500,998,4,45,Petrol,1590,3995,1770,SUV,5,93.25,7,5,DCT,350,2
498,725000,1197,4,45,Petrol,1590,3995,1770,SUV,5,93.25,5,5,Manual,350,2
499,850000,1397,4,52,Diesel,1590,3995,1770,SUV,5,93.25,6,5,Manual,350,2
500,983000,1397,4,52,Diesel,1590,3995,1770,SUV,5,93.25,6,5,Manual,350,2
501,998000,1397,4,52,Diesel,1590,3995,1770,SUV,5,93.25,6,5,Manual,350,2
502,1089000,1397,4,45,Diesel,1590,3995,1770,SUV,5,93.25,6,5,Manual,350,6
503,695000,1198,3,44,Petrol,1607,3994,1811,SUV,5,93.25,5,5,Manual,350,2
504,770000,1198,3,44,Petrol,1607,3994,1811,SUV,5,93.25,5,5,Manual,350,2
505,870000,1198,3,44,Petrol,1607,3994,1811,SUV,5,93.25,5,5,Manual,350,2
506,950000,1198,3,44,Petrol,1607,3994,1811,SUV,5,93.25,5,5,Manual,350,2
507,970000,1198,3,44,Petrol,1607,3994,1811,SUV,5,93.25,5,5,Manual,350,2
508,1040000,1198,3,44,Petrol,1607,3994,1811,SUV,5,93.25,5,5,Manual,350,2
509,1060000,1198,3,44,Petrol,1607,3994,1811,SUV,5,93.25,5,5,Automatic,350,2
510,830000,1198,3,44,Petrol,1607,3994,1811,SUV,5,93.25,5,5,Automatic,350,2
511,1010000,1198,3,44,Petrol,1607,3994,1811,SUV,5,93.25,5,5,Automatic,350,2
512,1030000,1198,3,44,Petrol,1607,3994,1811,SUV,5,93.25,5,5,Automatic,350,2
513,1100000,1198,3,44,Petrol,1607,3994,1811,SUV,5,93.25,5,5,Automatic,350,2
514,1120000,1198,3,44,Petrol,1607,3994,1811,SUV,5,93.25,5,5,Automatic,350,2
515,845000,1497,4,44,Diesel,1607,3994,1811,SUV,5,93.25,5,5,Manual,350,2
516,920000,1497,4,44,Diesel,1607,3994,1811,SUV,5,93.25,5,5,Manual,350,2
517,1020000,1497,4,44,Diesel,1607,3994,1811,SUV,5,93.25,5,5,Manual,350,2
518,1100000,1497,4,44,Diesel,1607,3994,1811,SUV,5,93.25,5,5,Manual,350,2
519,1120000,1497,4,44,Diesel,1607,3994,1811,SUV,5,93.25,5,5,Manual,350,2
520,1190000,1497,4,44,Diesel,1607,3994,1811,SUV,5,93.25,5,5,Manual,350,2
521,1210000,1497,4,44,Diesel,1607,3994,1811,SUV,5,93.25,5,5,Manual,350,2
522,980000,1497,4,44,Diesel,1607,3994,1811,SUV,5,93.25,5,5,Automatic,350,2
523,1160000,1497,4,44,Diesel,1607,3994,1811,SUV,5,93.25,5,5,Automatic,350,2
524,1180000,1497,4,44,Diesel,1607,3994,1811,SUV,5,93.25,5,5,Automatic,350,2
525,1250000,1497,4,44,Diesel,1607,3994,1811,SUV,5,93.25,5,5,Automatic,350,2
526,1270000,1497,4,44,Diesel,1607,3994,1811,SUV,5,93.25,5,5,Automatic,350,2
527,715860,1368,4,45,Petrol,1487,4596,1730,Sedan,4,113,5,5,Manual,500,0
528,862175,1248,4,45,Diesel,1494,4596,1730,Sedan,4,17.2,5,5,Manual,500,0
529,932025,1248,4,45,Diesel,1494,4596,1730,Sedan,5,17.2,5,5,Manual,500,2
530,991434,1248,4,45,Diesel,1494,4596,1730,Sedan,4,17.2,5,5,Manual,500,2
531,997763,1368,4,45,Petrol,1487,4596,1730,Sedan,4,113,5,5,Manual,500,2
532,886398,1493,4,60,Diesel,1880,3995,1745,SUV,5,12.4,5,7,Manual,1702,0
533,851302,1493,4,60,Diesel,1880,3995,1745,SUV,5,12.4,5,7,Manual,389,0
534,785656,1493,4,60,Diesel,1880,3995,1745,SUV,5,12.4,5,7,Manual,389,0
535,749192,1493,4,60,Diesel,1880,3995,1745,SUV,5,12.4,5,7,Manual,389,1
536,859497,2523,4,60,Diesel,1977,4494,1745,SUV,5,9.4,5,7,Manual,389,0
537,819117,2523,4,60,Diesel,1977,4440,1660,SUV,5,12.4,5,9,Manual,389,0
538,762742,1248,4,48,Diesel,1640,3995,1790,SUV,5,20,5,5,Manual,328,2
539,814742,1248,4,48,Diesel,1640,3995,1790,SUV,5,20,5,5,Manual,328,2
540,892243,1248,4,48,Diesel,1640,3995,1790,SUV,5,20,5,5,Manual,328,2
541,987743,1248,4,48,Diesel,1640,3995,1790,SUV,5,20,5,5,Manual,328,2
542,1003552,1248,4,48,Diesel,1640,3995,1790,SUV,5,20,5,5,Manual,328,2
543,1037742,1248,4,48,Diesel,1640,3995,1790,SUV,5,20,5,5,Manual,328,2
544,864742,1248,4,48,Diesel,1640,3995,1790,SUV,5,20,5,5,Automatic,328,1
545,942243,1248,4,48,Diesel,1640,3995,1790,SUV,5,20,5,5,Automatic,328,2
546,1059742,1248,4,48,Diesel,1640,3995,1790,SUV,5,20,5,5,Automatic,328,2
547,774035,1197,4,40,Petrol,1555,3995,1760,Hatchback,5,15,5,5,Manual,285,2
548,858536,1197,4,40,Petrol,1555,3995,1760,Hatchback,5,15,6,5,Manual,285,6
549,882298,1197,4,40,Petrol,1555,3995,1760,Hatchback,5,15,6,5,Manual,285,6
550,993393,1396,4,40,Diesel,1555,3995,1760,Hatchback,5,21.19,6,5,Manual,285,6
551,791000,1497,3,52,Petrol,1647,3998,1765,SUV,5,93.25,5,5,Manual,352,2
552,871000,1497,3,52,Petrol,1647,3998,1765,SUV,5,93.25,5,5,Manual,352,2
553,950000,1497,3,52,Petrol,1647,3998,1765,SUV,5,93.25,5,5,Manual,352,2
554,1130000,1497,3,52,Petrol,1647,3998,1765,SUV,5,93.25,6,5,Automatic,352,6
555,841000,1498,4,52,Diesel,1647,3998,1765,SUV,5,93.25,5,5,Manual,352,2
556,921000,1498,4,52,Diesel,1647,3998,1765,SUV,5,93.25,5,5,Manual,352,2
557,999900,1498,4,52,Diesel,1647,3998,1765,SUV,5,93.25,5,5,Manual,352,2
558,1090000,1498,4,52,Diesel,1647,3998,1765,SUV,5,93.25,5,5,Manual,352,6
559,999900,1497,4,52,Petrol,1647,3998,1765,SUV,5,93.25,5,5,Manual,352,6
560,1145000,1498,3,52,Diesel,1647,3998,1765,SUV,5,93.25,5,5,Manual,352,6
561,999900,1497,4,52,Petrol,1647,3998,1765,SUV,5,93.25,5,5,Manual,352,6
562,1090000,1498,4,52,Diesel,1647,3998,1765,SUV,5,93.25,5,5,Manual,352,6
563,799990,1498,4,50,Petrol,1695,4315,1822,SUV,5,10.2,5,5,Manual,475,2
564,919990,1498,4,50,Petrol,1695,4315,1822,SUV,5,10,5,5,Manual,475,2
565,999990,1498,4,50,Petrol,1695,4315,1822,SUV,5,10,6,5,CVT,475,2
566,929990,1461,4,50,Diesel,1695,4315,1822,SUV,5,16,5,5,Manual,475,2
567,999990,1461,4,50,Diesel,1695,4315,1822,SUV,5,16,5,5,Manual,475,2
568,1119990,1461,4,50,Diesel,1695,4315,1822,SUV,5,16,6,5,Automatic,475,2
569,1209990,1461,4,50,Diesel,1695,4315,1822,SUV,5,16,6,5,Automatic,475,2
570,1249990,1461,4,50,Diesel,1695,4315,1822,SUV,5,16,6,5,Automatic,475,2
571,1249990,1461,4,50,Diesel,1695,4315,1822,SUV,5,16,6,5,Automatic,475,2
572,999900,1591,4,45,Petrol,1445,4440,1729,Sedan,4,93.25,5,5,Manual,465,2
573,1172544,1582,4,45,Diesel,1445,4440,1729,Sedan,4,19.9,6,5,Manual,465,2
574,1301881,1582,4,45,Diesel,1445,4440,1729,Sedan,4,19.9,4,5,Manual,465,6
575,1172999,1591,4,45,Petrol,1445,4440,1729,Sedan,4,93.25,5,5,Manual,465,6
576,1328545,1582,4,45,Diesel,1445,4440,1729,Sedan,4,14,4,5,Automatic,465,2
577,1287999,1591,4,45,Petrol,1445,4440,1729,Sedan,4,93.25,4,5,Automatic,465,6
578,933182,1396,4,45,Petrol,1445,4440,1729,Sedan,4,93.25,5,5,Manual,465,2
579,817867,1396,4,45,Petrol,1445,4440,1729,Sedan,4,93.25,5,5,Manual,465,2
580,1178894,1591,4,45,Petrol,1445,4440,1729,Sedan,4,93.25,5,5,Manual,465,6
581,1162875,1591,4,45,Petrol,1445,4440,1729,Sedan,4,93.25,6,5,Automatic,465,6
582,1407871,1582,4,45,Diesel,1445,4440,1729,Sedan,4,14,6,5,Automatic,465,2
583,942867,1396,4,45,Diesel,1445,4440,1729,Sedan,4,93.25,5,5,Manual,465,2
584,999900,1396,4,45,Diesel,1445,4440,1729,Sedan,4,93.25,5,5,Manual,465,2
585,830127,1197,4,42,Petrol,1617,3995,1821,SUV,5,93.25,6,5,Manual,259,2
586,915128,1197,4,42,Petrol,1617,3995,1821,SUV,5,93.25,6,5,Manual,259,2
587,1060129,1197,4,42,Petrol,1617,3995,1821,SUV,5,93.25,6,5,Manual,259,2
588,1184129,1197,4,42,Petrol,1617,3995,1821,SUV,5,93.25,6,5,Manual,259,2
589,869131,1497,4,42,Diesel,1617,3995,1821,SUV,5,93.25,6,5,Manual,259,2
590,950131,1497,4,42,Diesel,1617,3995,1821,SUV,5,93.25,6,5,Manual,259,2
591,1095129,1497,4,42,Diesel,1617,3995,1821,SUV,5,93.25,6,5,Manual,259,2
592,1214130,1497,4,42,Diesel,1617,3995,1821,SUV,5,93.25,6,5,Manual,259,2
593,1149800,1497,4,42,Diesel,1617,3995,1821,SUV,5,93.25,6,5,Automatic,259,2
594,1269131,1497,4,42,Diesel,1617,3995,1821,SUV,5,93.25,6,5,Automatic,259,2
595,999000,1497,4,42,Diesel,1617,3995,1821,SUV,5,93.25,6,5,AMT,259,2
596,863299,1461,4,50,Diesel,1697,4498,1751,MUV,4,21.04,5,8,Manual,207,0
597,964199,1461,4,50,Diesel,1697,4498,1751,MUV,4,21.04,5,8,Manual,207,0
