,Unnamed: 0,Ex-Showroom_Price,Displacement,Cylinders,Fuel_Tank_Capacity,Height,Length,Width,Body_Type,Doors,City_Mileage,Gears,Seating_Capacity,Type,Boot_Space,Number_of_Airbags,CNG,CNG + Petrol,Diesel,Electric,Hybrid,Petrol
119,119,553423.0,1197,4,42,0.5823970037453183,0.6557780695994747,0.761455525606469,Sedan,4,16.3,5,5,Manual,316,0,0,0,0,0,0,1
120,120,598940.0,1197,4,42,0.5823970037453183,0.6557780695994747,0.761455525606469,Sedan,4,93.25,5,5,Manual,316,0,1,0,0,0,0,0
121,121,559693.0,1197,4,45,0.5636704119850188,0.6557780695994747,0.7681940700808625,Hatchback,5,13.3,5,5,Manual,285,2,0,0,0,0,0,1
122,122,697803.0,1396,4,45,0.5636704119850188,0.6541365725541693,0.7789757412398922,Hatchback,5,18.4,6,5,Manual,285,2,0,0,1,0,0,0
123,123,634950.0,1197,4,45,0.5636704119850188,0.6541365725541693,0.7789757412398922,Hatchback,5,13.3,5,5,Manual,285,2,0,0,0,0,0,1
124,124,770803.0,1396,4,45,0.5636704119850188,0.6541365725541693,0.7789757412398922,Hatchback,5,18.4,6,5,Manual,285,2,0,0,1,0,0,0
125,125,721693.0,1197,4,45,0.5636704119850188,0.6541365725541693,0.7789757412398922,Hatchback,5,13.3,5,5,Manual,285,2,0,0,0,0,0,1
126,126,876103.0,1396,4,45,0.5636704119850188,0.6541365725541693,0.7789757412398922,Hatchback,5,18.4,6,5,Manual,285,2,0,0,1,0,0,0
127,127,808993.0,1197,4,45,0.5636704119850188,0.6557780695994747,0.7789757412398922,Hatchback,5,13.3,5,5,Manual,285,6,0,0,0,0,0,1
128,128,934003.0,1396,4,45,0.5636704119850188,0.6541365725541693,0.7789757412398922,Hatchback,5,18.4,6,5,Manual,285,6,0,0,1,0,0,0
129,129,920993.0,1197,4,45,0.5636704119850188,0.6541365725541693,0.7789757412398922,Hatchback,5,13.3,5,5,Automatic,285,2,0,0,0,0,0,1
130,130,751693.0,1197,4,45,0.5636704119850188,0.6541365725541693,0.7789757412398922,Hatchback,5,13.3,5,5,Manual,285,2,0,0,0,0,0,1
131,131,831693.0,1197,4,45,0.5636704119850188,0.6541365725541693,0.7789757412398922,Hatchback,5,13.3,5,5,Manual,285,2,0,0,0,0,0,1
132,132,846103.0,1396,4,45,0.5636704119850188,0.6541365725541693,0.7789757412398922,Hatchback,5,18.4,6,5,Manual,285,2,0,0,1,0,0,0
133,133,579900.0,1197,4,37,0.5692883895131086,0.6557780695994747,0.7547169811320755,Sedan,5,93.25,5,5,Manual,389,2,0,0,0,0,0,1
134,134,655900.0,1197,4,37,0.5692883895131086,0.6557780695994747,0.7547169811320755,Sedan,5,93.25,5,5,Manual,389,2,0,0,0,0,0,1
135,135,705800.0,1197,4,37,0.5692883895131086,0.6557780695994747,0.7547169811320755,Sedan,5,93.25,5,5,Automatic,389,2,0,0,0,0,0,1
136,136,729900.0,1197,4,37,0.5692883895131086,0.6557780695994747,0.7547169811320755,Sedan,5,93.25,5,5,Manual,389,2,0,0,0,0,0,1
137,137,804800.0,1197,4,37,0.5692883895131086,0.6557780695994747,0.7547169811320755,Sedan,5,93.25,5,5,Automatic,389,2,0,0,0,0,0,1
138,138,785900.0,1197,4,37,0.5692883895131086,0.6557780695994747,0.7547169811320755,Sedan,5,93.25,5,5,Manual,389,2,0,0,0,0,0,1
139,139,728900.0,1197,4,37,0.5692883895131086,0.6557780695994747,0.7547169811320755,Sedan,5,93.25,5,5,Manual,389,2,0,1,0,0,0,0
140,140,854900.0,998,4,37,0.5692883895131086,0.6557780695994747,0.7547169811320755,Sedan,5,93.25,5,5,Manual,389,2,0,0,0,0,0,1
141,141,773800.0,1186,4,37,0.5692883895131086,0.6557780695994747,0.7547169811320755,Sedan,5,93.25,5,5,Manual,389,2,0,0,1,0,0,0
142,142,823700.0,1186,4,37,0.5692883895131086,0.6557780695994747,0.7547169811320755,Sedan,5,93.25,5,5,Automatic,389,2,0,0,1,0,0,0
143,143,922700.0,1186,4,37,0.5692883895131086,0.6557780695994747,0.7547169811320755,Sedan,5,93.25,5,5,Automatic,389,2,0,0,1,0,0,0
144,144,903800.0,1186,4,37,0.5692883895131086,0.6557780695994747,0.7547169811320755,Sedan,5,93.25,5,5,Manual,389,2,0,0,1,0,0,0
145,145,582000.0,999,3,45,0.550187265917603,0.6518384766907419,0.7556154537286612,Hatchback,5,14.0,5,5,Manual,280,2,0,0,0,0,0,1
146,146,676500.0,999,3,45,0.550187265917603,0.6518384766907419,0.7556154537286612,Hatchback,5,14.0,5,5,Manual,280,2,0,0,0,0,0,1
147,147,776500.0,999,3,45,0.550187265917603,0.6518384766907419,0.7556154537286612,Hatchback,5,14.0,5,5,Manual,280,2,0,0,0,0,0,1
148,148,734500.0,1498,4,45,0.550187265917603,0.6518384766907419,0.7556154537286612,Hatchback,5,19.0,5,5,Manual,280,2,0,0,1,0,0,0
149,149,851500.0,1498,4,45,0.550187265917603,0.6518384766907419,0.7556154537286612,Hatchback,5,19.0,5,5,Manual,280,2,0,0,1,0,0,0
150,150,931500.0,1498,4,45,0.550187265917603,0.6518384766907419,0.7556154537286612,Hatchback,5,19.0,5,5,Manual,280,2,0,0,1,0,0,0
151,151,976000.0,1197,4,45,0.550187265917603,0.6518384766907419,0.7556154537286612,Hatchback,5,17.0,7,5,Automatic,280,2,0,0,0,0,0,1
152,152,988500.0,1498,4,45,0.550187265917603,0.6518384766907419,0.7556154537286612,Hatchback,5,19.0,5,5,Manual,250,2,0,0,1,0,0,0
153,153,582613.0,1197,4,37,0.5674157303370787,0.6557780695994747,0.7794249775381851,Sedan,4,16.3,5,5,Manual,378,2,0,0,0,0,0,1
154,154,673112.0,1197,4,37,0.5674157303370787,0.6557780695994747,0.7794249775381851,Sedan,4,16.3,5,5,Manual,378,2,0,0,0,0,0,1
155,155,666622.0,1248,4,37,0.5674157303370787,0.6557780695994747,0.7794249775381851,Sedan,4,284.0,5,5,Manual,378,2,0,0,1,0,0,0
156,156,732113.0,1197,4,37,0.5674157303370787,0.6557780695994747,0.7794249775381851,Sedan,4,16.3,5,5,Manual,378,2,0,0,0,0,0,1
157,157,757622.0,1248,4,37,0.5674157303370787,0.6557780695994747,0.7794249775381851,Sedan,4,28.4,5,5,Manual,378,2,0,0,1,0,0,0
158,158,720112.0,1197,4,37,0.5674157303370787,0.6557780695994747,0.7794249775381851,Sedan,4,16.3,4,5,Automatic,378,2,0,0,0,0,0,1
159,159,863122.0,1248,4,37,0.5674157303370787,0.6557780695994747,0.7794249775381851,Sedan,4,28.4,5,5,Automatic,378,2,0,0,1,0,0,0
160,160,816622.0,1248,4,37,0.5674157303370787,0.6557780695994747,0.7794249775381851,Sedan,4,284.0,5,5,Manual,378,2,0,0,1,0,0,0
161,161,821613.0,1197,4,37,0.5674157303370787,0.6557780695994747,0.7794249775381851,Sedan,4,16.3,5,5,Manual,378,2,0,0,0,0,0,1
162,162,779113.0,1197,4,37,0.5674157303370787,0.6557780695994747,0.7794249775381851,Sedan,4,16.3,5,5,Automatic,378,2,0,0,0,0,0,1
163,163,868613.0,1197,4,37,0.5674157303370787,0.6557780695994747,0.7794249775381851,Sedan,4,16.3,5,5,Automatic,378,2,0,0,0,0,0,1
164,164,906122.0,1248,4,37,0.5674157303370787,0.6557780695994747,0.7794249775381851,Sedan,4,284.0,5,5,Manual,378,2,0,0,1,0,0,0
165,165,804622.0,1248,4,37,0.5674157303370787,0.6557780695994747,0.7794249775381851,Sedan,4,28.4,5,5,Automatic,378,2,0,0,1,0,0,0
166,166,952622.0,1248,4,37,0.5674157303370787,0.6557780695994747,0.7794249775381851,Sedan,4,28.4,5,5,Automatic,378,2,0,0,1,0,0,0
167,167,676400.0,1498,4,40,0.5880149812734082,0.6490479317137229,0.7803234501347709,Crossover,5,93.25,5,5,Manual,257,2,0,0,1,0,0,0
168,168,790900.0,1498,4,40,0.5880149812734082,0.6490479317137229,0.7803234501347709,Hatchback,5,93.25,5,5,Manual,257,2,0,0,1,0,0,0
169,169,836400.0,1498,4,40,0.5880149812734082,0.6490479317137229,0.7803234501347709,Hatchback,5,93.25,5,5,Manual,257,6,0,0,1,0,0,0
170,170,591400.0,1194,3,42,0.5880149812734082,0.6490479317137229,0.7803234501347709,Hatchback,5,93.25,5,5,Manual,257,2,0,0,0,0,0,1
171,171,721400.0,1194,3,42,0.5880149812734082,0.6490479317137229,0.7803234501347709,Hatchback,5,93.25,5,5,Manual,257,2,0,0,0,0,0,1
172,172,756400.0,1194,3,42,0.5880149812734082,0.6490479317137229,0.7803234501347709,Hatchback,5,93.25,5,5,Manual,257,6,0,0,0,0,0,1
